state,county,candidate,Party,votes
Kansas,Sedgwick County,Barbara Bollier,D,91329
Kansas,Seward County,Barbara Bollier,D,1725
Kansas,Shawnee County,Roger Marshall,R,37861
Kansas,Sheridan County,Barbara Bollier,D,170
Kansas,Sherman County,Barbara Bollier,D,408
Kansas,Smith County,Barbara Bollier,D,358
Kansas,Stafford County,Barbara Bollier,D,378
Kansas,Stanton County,Barbara Bollier,D,140
Kansas,Stevens County,Barbara Bollier,D,267
Kansas,Sumner County,Barbara Bollier,D,2795
Kansas,Thomas County,Barbara Bollier,D,686
Kansas,Trego County,Barbara Bollier,D,290
Kansas,Wabaunsee County,Barbara Bollier,D,1023
Kansas,Wallace County,Barbara Bollier,D,53
Kansas,Washington County,Barbara Bollier,D,501
Kansas,Wichita County,Barbara Bollier,D,152
Kansas,Wilson County,Barbara Bollier,D,845
Kansas,Woodson County,Barbara Bollier,D,341
Kansas,Wyandotte County,Roger Marshall,R,16474
Kentucky,Adair County,Amy McGrath,D,1623
Kentucky,Allen County,Amy McGrath,D,1919
Kentucky,Anderson County,Amy McGrath,D,3663
Kentucky,Ballard County,Amy McGrath,D,936
Kentucky,Barren County,Amy McGrath,D,5600
Kentucky,Bath County,Amy McGrath,D,1827
Kentucky,Bell County,Amy McGrath,D,2159
Kentucky,Boone County,Amy McGrath,D,22450
Kentucky,Bourbon County,Amy McGrath,D,3477
Kentucky,Boyd County,Amy McGrath,D,7915
Kentucky,Boyle County,Amy McGrath,D,5445
Kentucky,Bracken County,Amy McGrath,D,987
Kentucky,Breathitt County,Amy McGrath,D,1652
Kentucky,Breckinridge County,Amy McGrath,D,2764
Kentucky,Bullitt County,Amy McGrath,D,11896
Kentucky,Butler County,Amy McGrath,D,1239
Kentucky,Caldwell County,Amy McGrath,D,1675
Kentucky,Calloway County,Amy McGrath,D,6180
Kentucky,Campbell County,Amy McGrath,D,20600
Kentucky,Carlisle County,Amy McGrath,D,541
Kentucky,Carroll County,Amy McGrath,D,1299
Kentucky,Carter County,Amy McGrath,D,3253
Kentucky,Casey County,Amy McGrath,D,1027
Kentucky,Christian County,Amy McGrath,D,9130
Kentucky,Clark County,Amy McGrath,D,6312
Kentucky,Clay County,Amy McGrath,D,1016
Kentucky,Clinton County,Amy McGrath,D,729
Kentucky,Crittenden County,Amy McGrath,D,869
Kentucky,Cumberland County,Amy McGrath,D,610
Kentucky,Daviess County,Amy McGrath,D,18383
Kentucky,Edmonson County,Amy McGrath,D,1383
Kentucky,Elliott County,Amy McGrath,D,868
Kentucky,Estill County,Amy McGrath,D,1515
Kentucky,Fayette County,Mitch McConnell,R,58919
Kentucky,Fleming County,Amy McGrath,D,1743
Kentucky,Floyd County,Amy McGrath,D,4924
Kentucky,Franklin County,Mitch McConnell,R,11990
Kentucky,Fulton County,Amy McGrath,D,810
Kentucky,Gallatin County,Amy McGrath,D,974
Kentucky,Garrard County,Amy McGrath,D,1959
Kentucky,Grant County,Amy McGrath,D,2544
Kentucky,Graves County,Amy McGrath,D,3938
Kentucky,Grayson County,Amy McGrath,D,2633
Kentucky,Green County,Amy McGrath,D,1169
Kentucky,Greenup County,Amy McGrath,D,5673
Kentucky,Hancock County,Amy McGrath,D,1580
Kentucky,Hardin County,Amy McGrath,D,19221
Kentucky,Harlan County,Amy McGrath,D,1892
